Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2,class,Outlier
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp,no
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp,no
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp,no
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp,no
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp,no
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp,no
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp,no
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp,no
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp,no
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp,no
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp,no
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp,no
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp,no
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp,no
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp,no
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp,no
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp,no
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp,no
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp,no
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp,no
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp,no
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp,no
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp,no
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp,no
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp,no
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp,no
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp,no
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp,no
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp,no
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp,no
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp,no
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp,no
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp,no
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp,no
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp,no
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp,no
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp,no
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp,no
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp,no
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp,no
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp,no
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp,no
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp,no
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp,no
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp,no
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp,no
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp,no
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp,no
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp,no
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp,no
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp,no
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp,no
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp,no
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp,no
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp,no
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp,no
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp,no
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp,no
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp,no
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp,no
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp,no
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp,no
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp,no
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp,no
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp,no
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp,no
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp,no
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp,no
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp,no
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp,no
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp,no
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp,no
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp,no
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp,no
RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp,no
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp,no
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp,no
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp,no
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp,no
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp,no
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp,no
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp,no
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp,no
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp,no
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp,no
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp,no
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp,no
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp,no
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp,no
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp,no
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp,no
SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp,no
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp,no
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp,no
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp,no
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp,no
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp,no
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp,no
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp,no
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp,no
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp,no
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp,no
SYV_ECOLI,0,0.38,0.48,0.5,0.42,0.48,0.55,cp,no
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp,no
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp,no
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp,no
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp,no
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp,no
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp,no
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp,no
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp,no
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp,no
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp,no
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp,no
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp,no
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im,no
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im,no
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im,no
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im,no
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im,no
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im,no
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im,no
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im,no
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im,no
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im,no
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im,no
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im,no
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im,no
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im,no
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im,no
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im,no
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im,no
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im,no
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im,no
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im,no
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im,no
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im,no
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im,no
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im,no
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im,no
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im,no
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im,no
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im,no
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im,no
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im,no
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im,no
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im,no
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im,no
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im,no
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im,no
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im,no
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im,no
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im,no
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im,no
MCP3_ECOLI,0.6,0.5,1,0.5,0.54,0.77,0.8,im,no
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im,no
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im,no
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im,no
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im,no
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im,no
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im,no
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im,no
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im,no
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im,no
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im,no
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im,no
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im,no
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im,no
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im,no
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im,no
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im,no
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im,no
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im,no
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im,no
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im,no
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im,no
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im,no
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im,no
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im,no
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im,no
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im,no
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im,no
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im,no
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im,no
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im,no
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im,no
FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44,im,no
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im,no
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im,no
TOLA_ECOLI,0.61,0.47,0.48,0.5,0,0.8,0.32,im,no
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im,no
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99,im,no
ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS,no
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS,no
NLPA_ECOLI,0.75,0.55,1,1,0.4,0.47,0.3,imL,no
CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84,imL,no
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU,no
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU,no
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU,no
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU,no
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU,no
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU,no
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU,no
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU,no
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU,no
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU,no
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU,no
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU,no
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU,no
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU,no
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU,no
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU,no
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU,no
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU,no
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU,no
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU,no
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU,no
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU,no
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU,no
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU,no
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU,no
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU,no
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU,no
RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74,imU,no
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU,no
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU,no
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU,no
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU,no
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU,no
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU,no
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU,no
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om,no
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om,no
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om,no
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om,no
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om,no
OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om,no
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om,no
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om,no
OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om,no
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om,no
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om,no
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om,no
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om,no
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om,no
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om,no
FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52,om,no
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om,no
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om,no
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om,no
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om,no
MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01,omL,no
NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36,omL,no
NLPE_ECOLI,0.71,0.46,1,0.5,0.52,0.59,0.3,omL,no
PAL_ECOLI,0.67,0.55,1,0.5,0.66,0.58,0.16,omL,no
SLP_ECOLI,0.68,0.49,1,0.5,0.62,0.55,0.28,omL,no
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp,no
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp,no
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp,no
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp,no
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp,no
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp,no
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp,no
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp,no
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp,no
DGAL_ECOLI,0.63,1,0.48,0.5,0.35,0.51,0.49,pp,no
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp,no
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp,no
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp,no
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp,no
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp,no
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp,no
FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp,no
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp,no
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp,no
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp,no
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp,no
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp,no
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp,no
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp,no
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp,no
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp,no
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp,no
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp,no
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp,no
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp,no
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp,no
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp,no
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp,no
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp,no
POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp,no
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp,no
PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp,no
